name,handedness,height,weight,avg,HR,,Handedness Abbreviation
Ron Hodges,Left,73,185,0.24,19,,L
Rich Chiles,Left,71,170,0.254,6,,L
Tom Paciorek,Right,76,215,0.282,86,,R
Gary Woods,Right,74,185,0.243,13,,R
Bob Montgomery,Right,73,195,0.258,23,,R
Jeff Burroughs,Right,73,200,0.261,240,,R
Rusty Staub,Left,74,190,0.279,292,,L
Jim Norris,Left,70,175,0.264,7,,L
Oscar Gamble,Left,71,160,0.265,200,,L
Bob Kammeyer,Right,76,210,0,0,,R
George Vukovich,Left,72,198,0.268,27,,L
Joe Pactwa,Left,71,185,0,0,,L
Craig Reynolds,Left,73,175,0.256,42,,L
Paul Blair,Right,72,168,0.25,134,,R
Al Cowens,Right,73,197,0.27,108,,R
Al Oliver,Left,72,195,0.303,219,,L
Dave Hilton,Right,71,191,0.213,6,,R
Luis Alvarado,Right,69,162,0.214,5,,R
Larry Parrish,Right,75,190,0.263,256,,R
Woodie Fryman,Right,75,197,0.138,2,,R
Bob Randall,Right,74,175,0.257,1,,R
Jim Pankovits,Right,70,170,0.25,9,,R
Sherman Corbett,Left,76,205,0,0,,L
Carmen Fanzone,Right,72,200,0.224,20,,R
Gary Allenson,Right,71,185,0.221,19,,R
Milt May,Left,72,190,0.263,77,,L
Mike Vail,Right,73,180,0.279,34,,R
Nick Esasky,Right,75,200,0.25,122,,R
Jim Nettles,Left,72,186,0.22,16,,L
Lafayette Currence,Both,71,175,0,0,,B
Chris Cannizzaro,Right,72,190,0.235,18,,R
Larry Biittner,Left,74,205,0.273,29,,L
John Pawlowski,Right,74,175,0,0,,R
Mel Stottlemyre,Right,73,178,0.16,7,,R
Jack Hardy,Right,74,175,0,0,,R
Ron Musselman,Right,74,185,0,0,,R
Roy Smalley,Both,73,185,0.257,163,,B
Tony Chevez,Right,71,177,0,0,,R
Andy Messersmith,Right,73,200,0.17,5,,R
Richie Zisk,Right,73,200,0.287,207,,R
Dave Chalk,Right,70,175,0.252,15,,R
Don Baylor,Right,73,190,0.26,338,,R
John Vukovich,Right,73,187,0.161,6,,R
Danny Thompson,Right,72,183,0.248,15,,R
Joe Simpson,Left,75,175,0.242,9,,L
Bill Fahey,Left,72,200,0.241,7,,L
Doug Camilli,Right,71,195,0.199,18,,R
Bernie Allen,Left,72,175,0.239,73,,L
Bruce Bochy,Right,75,205,0.239,26,,R
Gary Ignasiak,Right,71,185,0,0,,R
Claudell Washington,Left,72,190,0.278,164,,L
John Donaldson,Left,71,160,0.238,4,,L
Mike Smithson,Left,80,215,0,0,,L
John Mayberry,Left,75,215,0.253,255,,L
Ken Reitz,Right,72,180,0.26,68,,R
Amos Otis,Right,71,165,0.277,193,,R
Gene Alley,Right,70,160,0.254,55,,R
Ted Sizemore,Right,70,165,0.262,23,,R
Dan Briggs,Left,72,180,0.195,12,,L
Joe Skalski,Right,75,190,0,0,,R
Doug Flynn,Right,71,165,0.238,7,,R
Bert Bradley,Both,73,190,0,0,,B
Ken Holtzman,Right,74,175,0.163,2,,R
Pete Ward,Left,73,185,0.254,98,,L
Kevin Bell,Right,72,195,0.222,13,,R
Tom Nieto,Right,73,193,0.205,5,,R
Duke Sims,Left,74,197,0.239,100,,L
Larvell Blanks,Right,68,167,0.253,20,,R
Francisco Barrios,Right,71,155,0,0,,R
Mike Davis,Left,74,175,0.259,91,,L
Jerry Reuss,Left,77,200,0.167,1,,L
Steve Yeager,Right,72,190,0.228,102,,R
Danny Goodwin,Left,73,195,0.236,13,,L
Bud Harrelson,Both,71,160,0.236,7,,B
Bob Knepper,Left,75,195,0.137,6,,L
Mickey Rivers,Left,70,165,0.295,61,,L
Jim Northrup,Left,75,190,0.267,153,,L
John Hale,Left,74,195,0.201,14,,L
Reggie Ritter,Left,74,195,0,0,,L
Pedro Garcia,Right,70,175,0.22,37,,R
Carl Yastrzemski,Left,71,175,0.285,452,,L
Bob Babcock,Right,77,210,0,0,,R
Craig Eaton,Right,71,175,0,0,,R
Derrel Thomas,Both,72,160,0.249,43,,B
Art Howe,Right,74,190,0.26,43,,R
Ike Brown,Right,72,190,0.256,20,,R
Howie Goss,Right,76,204,0.216,11,,R
Glenn Borgmann,Right,76,210,0.229,16,,R
Lamar Johnson,Right,74,215,0.287,64,,R
Julio Gonzalez,Right,71,162,0.235,4,,R
Bobby Klaus,Right,70,170,0.208,6,,R
Manny Sanguillen,Right,72,193,0.296,65,,R
Gates Brown,Left,71,220,0.257,84,,L
Johnny Ray,Both,71,170,0.29,53,,B
Jesus Alou,Right,74,190,0.28,32,,R
Ken Landreaux,Left,70,165,0.268,91,,L
Enos Cabell,Right,76,170,0.277,60,,R
Roy Branch,Right,72,175,0,0,,R
Billy North,Both,71,185,0.261,20,,B
Juan Beniquez,Right,71,150,0.274,79,,R
Frank Fernandez,Right,72,185,0.199,39,,R
Bombo Rivera,Right,70,187,0.265,10,,R
Steve Brye,Right,72,190,0.258,30,,R
Ron Jackson,Right,72,200,0.259,56,,R
Roger Metzger,Both,72,165,0.231,5,,B
Rufino Linares,Right,72,170,0.27,11,,R
Ray Webster,Left,72,185,0.244,17,,L
Bob Kearney,Right,72,190,0.233,27,,R
Fergie Jenkins,Right,77,205,0.165,13,,R
Dick Dietz,Right,73,195,0.261,66,,R
Ted Cox,Right,75,195,0.245,10,,R
Bobby Mitchell,Left,70,170,0.243,3,,L
Bobby Mitchell,Right,75,185,0.235,21,,R
Barry Evans,Right,73,180,0.251,2,,R
Mickey Brantley,Right,70,180,0.259,32,,R
Al Gallagher,Right,72,180,0.263,11,,R
Rob Woodward,Right,75,185,0,0,,R
Hector Cruz,Right,71,170,0.225,39,,R
Fred Norman,Both,68,155,0.125,0,,B
Woody Woodward,Right,74,180,0.236,1,,R
Ted Martinez,Right,72,165,0.24,7,,R
Jim Anderson,Right,72,170,0.218,13,,R
Lenn Sakata,Right,69,160,0.23,25,,R
Dave Duncan,Right,74,190,0.214,109,,R
Randy Jones,Right,72,178,0.132,0,,R
Dick Billings,Right,73,195,0.227,16,,R
Bob Veselic,Right,72,175,0,0,,R
Bruce Bochte,Left,75,195,0.282,100,,L
Bernie Carbo,Left,71,173,0.264,96,,L
Vic Davalillo,Left,67,150,0.279,36,,L
Burt Hooton,Right,73,210,0.123,4,,R
Chuck Hockenbery,Both,73,195,0,0,,B
Bob Ferris,Right,78,225,0,0,,R
Fernando Gonzalez,Right,70,165,0.235,17,,R
Jim Sundberg,Right,72,190,0.248,95,,R
Andy Kosco,Right,75,205,0.236,73,,R
Steve Huntz,Both,73,204,0.206,16,,B
Gary Wheelock,Right,75,205,0,0,,R
Lenny Faedo,Right,72,170,0.251,5,,R
John Lowenstein,Left,72,175,0.253,116,,L
Don Kessinger,Both,73,170,0.252,14,,B
Joe Hague,Left,72,195,0.239,40,,L
Bake McBride,Left,74,190,0.299,63,,L
Dick Davis,Right,75,190,0.265,27,,R
Richie Scheinblum,Both,73,180,0.263,13,,B
Ed Herrmann,Left,73,195,0.24,80,,L
Mike Rochford,Left,76,205,0,0,,L
Jeff Schneider,Both,75,195,0,0,,B
Bob Molinaro,Left,72,190,0.264,14,,L
Mike Hegan,Left,73,188,0.242,53,,L
Mike Diaz,Right,74,195,0.247,31,,R
Tim Foli,Right,72,179,0.251,25,,R
Alan Knicely,Right,72,190,0.213,12,,R
Tim Laudner,Right,75,212,0.225,77,,R
Jose Morales,Right,71,187,0.287,26,,R
Luis Encarnacion,Right,70,178,0,0,,R
Rick Kreuger,Right,74,185,0,0,,R
Juan Marichal,Right,72,185,0.165,4,,R
Vida Blue,Both,72,189,0.104,4,,B
Angel Moreno,Left,69,165,0,0,,L
Roger Weaver,Right,75,190,0,0,,R
Stan Papi,Right,72,170,0.218,7,,R
Rob Wilfong,Left,73,180,0.248,39,,L
Chris Knapp,Right,77,195,0,0,,R
Steve Henderson,Right,74,190,0.28,68,,R
Rob Picciolo,Right,74,185,0.234,17,,R
Don Welchel,Right,76,205,0,0,,R
Randy Wiles,Left,73,185,0,0,,L
Roberto Pena,Right,68,170,0.245,13,,R
Bob Dernier,Right,72,160,0.255,23,,R
Bill Melton,Right,74,200,0.253,160,,R
Albert Hall,Both,71,155,0.251,5,,B
Barbaro Garbey,Right,70,170,0.267,11,,R
John Milner,Left,72,185,0.249,131,,L
Rich Reese,Left,75,185,0.253,52,,L
Chris Bando,Both,72,195,0.227,27,,B
Bill Buckner,Left,72,185,0.289,174,,L
Jack Hiatt,Right,74,190,0.251,22,,R
Nelson Mathews,Right,76,195,0.223,22,,R
Larry Lintz,Both,69,150,0.227,0,,B
Ron Theobald,Right,68,165,0.248,2,,R
Dewey Robinson,Right,72,180,0,0,,R
Rafael Santana,Right,73,165,0.246,13,,R
Jerry Hairston,Both,70,170,0.258,30,,B
Tony Arnold,Right,71,170,0,0,,R
Jeff Schattinger,Left,77,200,0,0,,L
Ike Brookens,Right,77,170,0,0,,R
Tommie Aaron,Right,75,190,0.229,13,,R
Steve Dillard,Right,73,180,0.243,13,,R
Win Remmerswaal,Right,74,160,0,0,,R
Jeff Peterek,Right,74,195,0,0,,R
George Scott,Right,74,200,0.268,271,,R
Jeff Shaver,Right,75,195,0,0,,R
Ken Walters,Right,73,180,0.231,11,,R
Gorman Thomas,Right,74,210,0.225,268,,R
Paul Dade,Right,73,185,0.27,10,,R
Darrell Porter,Left,72,193,0.247,188,,L
Tim Johnson,Left,73,170,0.223,0,,L
Fred Stanley,Right,70,165,0.216,10,,R
Larry Bowa,Both,70,155,0.26,15,,B
Tim Corcoran,Left,71,175,0.27,12,,L
Jim Spencer,Left,74,195,0.25,146,,L
Pete LaCock,Left,74,200,0.257,27,,L
Carl Morton,Right,72,200,0.156,7,,R
Gary Gray,Right,72,187,0.24,24,,R
Matty Alou,Left,69,160,0.307,31,,L
Pete Filson,Both,74,195,0,0,,B
Jim Dwyer,Left,70,165,0.26,77,,L
Dalton Jones,Left,73,180,0.235,41,,L
Rennie Stennett,Right,71,160,0.274,41,,R
Jim Gideon,Right,75,190,0,0,,R
Jerry May,Right,74,190,0.234,15,,R
Rich McKinney,Right,71,185,0.225,20,,R
Clint Hurdle,Left,75,195,0.259,32,,L
Mike Andrews,Right,75,195,0.258,66,,R
Bobby Clark,Right,72,190,0.239,19,,R
Jeff Twitty,Left,74,185,0,0,,L
Cliff Johnson,Right,76,215,0.258,196,,R
Steve Cummings,Both,74,200,0,0,,B
Donn Clendenon,Right,76,209,0.274,159,,R
Charlie James,Right,73,195,0.255,29,,R
Bob Horner,Right,73,195,0.277,218,,R
Tom Veryzer,Right,73,175,0.241,14,,R
Jose Cecena,Right,71,180,0,0,,R
George Smith,Right,70,170,0.205,9,,R
Jim Essian,Right,74,195,0.244,33,,R
Onix Concepcion,Right,66,160,0.239,3,,R
Boots Day,Left,69,160,0.256,8,,L
Brian Giles,Right,73,165,0.228,10,,R
Garry Maddox,Right,75,175,0.285,117,,R
Alex Trevino,Right,70,165,0.249,23,,R
Jim Price,Right,72,192,0.214,18,,R
Felix Millan,Right,71,172,0.279,22,,R
Steve Garvey,Right,70,192,0.294,272,,R
Don Mincher,Left,75,205,0.249,200,,L
Greg Erardi,Right,73,190,0,0,,R
Jim Farr,Right,73,195,0,0,,R
Tony Cloninger,Right,72,210,0.192,11,,R
Jim Gosger,Left,71,185,0.226,30,,L
Chuck Harrison,Right,70,185,0.238,17,,R
Mike Ivie,Right,75,205,0.269,81,,R
Frank Dimichele,Right,75,205,0,0,,R
Bob Veale,Both,78,212,0.114,0,,B
Marvell Wynne,Left,71,175,0.247,40,,L
Dusty Baker,Right,74,183,0.278,242,,R
Tucker Ashford,Right,73,195,0.218,6,,R
Ned Yost,Right,73,190,0.212,16,,R
Bob Stinson,Both,71,180,0.25,33,,B
Mike Warren,Right,73,175,0,0,,R
Gaylord Perry,Right,76,205,0.131,6,,R
Dave Marshall,Left,73,182,0.246,16,,L
Mickey Hatcher,Right,74,200,0.28,38,,R
Roger Repoz,Left,75,190,0.224,82,,L
Bill Fulton,Right,75,195,0,0,,R
John Orsino,Right,75,215,0.249,40,,R
Larry Anderson,Right,75,190,0,0,,R
Johnny Briggs,Left,73,190,0.253,139,,L
Craig Mitchell,Right,75,180,0,0,,R
Dave Hostetler,Right,76,215,0.229,37,,R
Bob Jones,Left,74,195,0.221,20,,L
Keith Hernandez,Left,72,180,0.296,162,,L
Alfredo Martinez,Right,75,185,0,0,,R
Dean Chance,Right,75,200,0.066,0,,R
Willie Upshaw,Left,72,185,0.262,123,,L
Dick Green,Right,70,180,0.24,80,,R
Dane Iorg,Left,72,180,0.276,14,,L
Richie Hebner,Left,73,195,0.276,203,,L
Fran Healy,Right,77,220,0.25,20,,R
Doc Edwards,Right,74,215,0.238,15,,R
Sandy Alomar,Both,69,140,0.245,13,,B
Joe Strain,Right,70,169,0.25,1,,R
Gene Richards,Left,72,175,0.29,26,,L
Buddy Bell,Right,73,180,0.279,201,,R
Al Woods,Left,75,190,0.271,35,,L
Rudy Law,Left,73,165,0.271,18,,L
Joel Davis,Left,77,205,0,0,,L
Jody Davis,Right,76,192,0.245,127,,R
Mike Edwards,Right,70,154,0.25,2,,R
Bill Mooneyham,Right,72,175,0,0,,R
John Hobbs,Right,75,190,0,0,,R
Deron Johnson,Right,74,200,0.244,245,,R
John Denny,Right,75,185,0.17,0,,R
Don Wert,Right,70,162,0.242,77,,R
Mike Fiore,Left,72,175,0.227,13,,L
Miguel Dilone,Both,72,160,0.265,6,,B
Greg Luzinski,Right,73,220,0.276,307,,R
Bobby Tolan,Left,71,170,0.265,86,,L
Karl Best,Right,76,190,0,0,,R
Steve Barr,Left,76,200,0,0,,L
Ron Woods,Right,70,168,0.233,26,,R
Tony Horton,Right,75,210,0.268,76,,R
Randy Hundley,Right,71,170,0.236,82,,R
Jose Tartabull,Left,71,165,0.261,2,,L
Ben Oglivie,Left,74,160,0.273,235,,L
Luis Sanchez,Right,74,170,0,0,,R
Bob Johnson,Right,70,175,0.272,44,,R
Don Buford,Both,67,160,0.264,93,,B
Duane Kuiper,Left,72,175,0.271,1,,L
Brant Alyea,Right,75,215,0.247,38,,R
Jerry Narron,Left,75,205,0.211,21,,L
Lou Johnson,Right,71,170,0.258,48,,R
Ken Retzer,Left,72,185,0.264,14,,L
Mike Brown,Right,74,195,0.265,23,,R
Mike Brown,Right,74,195,0,0,,R
Greg Walker,Left,75,205,0.26,113,,L
Terry Harper,Right,76,195,0.253,36,,R
Jerry Royster,Right,72,165,0.249,40,,R
Steve Davis,Left,73,195,0,0,,L
Jeff Rineer,Left,76,205,0,0,,L
Barry Bonnell,Right,75,190,0.272,56,,R
Tom Seaver,Right,73,195,0.154,12,,R
Jerry Martin,Right,73,195,0.251,85,,R
Bill Stein,Right,70,170,0.267,44,,R
Joel Youngblood,Right,72,180,0.265,80,,R
Reggie Jackson,Left,72,195,0.262,563,,L
Sonny Jackson,Left,69,150,0.251,7,,L
Mark Mercer,Left,77,220,0,0,,L
Rodney Scott,Both,72,160,0.236,3,,B
Rich Coggins,Left,68,170,0.265,12,,L
Phil Gagliano,Right,73,180,0.238,14,,R
Jerry McNertney,Right,72,180,0.237,27,,R
Mitchell Page,Left,74,205,0.266,72,,L
Kiko Garcia,Right,71,180,0.239,12,,R
Larry Milbourne,Both,72,161,0.254,11,,B
Bill Sudakis,Both,73,190,0.234,59,,B
John Caneira,Right,75,180,0,0,,R
Domingo Ramos,Right,70,154,0.24,8,,R
Ron Oester,Both,74,185,0.265,42,,B
Glenn Adams,Left,73,180,0.28,34,,L
Clint Zavaras,Right,73,175,0,0,,R
Joe Morgan,Left,67,160,0.271,268,,L
R.J. Reynolds,Both,72,190,0.267,35,,B
Mike Parrott,Right,76,210,0,0,,R
Lee Thomas,Left,74,195,0.255,106,,L
Ray Fosse,Right,74,215,0.256,61,,R
Paul Popovich,Both,72,175,0.233,14,,B
John Stephenson,Left,71,180,0.216,12,,L
Doug Clemens,Left,72,180,0.229,12,,L
Luis Aponte,Right,72,185,0,0,,R
Orlando Mercado,Right,72,180,0.199,7,,R
Charley Smith,Right,73,170,0.239,69,,R
Paul Boris,Right,74,200,0,0,,R
Buddy Biancalana,Both,71,160,0.205,6,,B
De Wayne Buice,Right,72,170,0,0,,R
Bob Uecker,Right,73,190,0.2,14,,R
Felix Torres,Right,71,165,0.254,27,,R
Steve Braun,Left,70,180,0.271,52,,L
Ray Knight,Right,73,185,0.271,84,,R
Ty Cline,Left,72,170,0.238,6,,L
Thad Bosley,Left,75,175,0.272,20,,L
Bobby Grich,Right,74,180,0.266,224,,R
Jimmie Hall,Left,72,175,0.254,121,,L
John Boccabella,Right,73,195,0.219,26,,R
Brock Davis,Left,70,160,0.26,1,,L
Mark Esser,Right,73,190,0,0,,R
Curt Blefary,Left,74,195,0.237,112,,L
Daryl Smith,Right,76,185,0,0,,R
Dave Smith,Right,73,190,0,0,,R
Mack Jones,Left,73,180,0.252,133,,L
Buddy Bradford,Right,71,170,0.226,52,,R
Hosken Powell,Left,73,175,0.259,17,,L
Dave Stapleton,Left,73,185,0,0,,L
Dave Stapleton,Right,73,178,0.271,41,,R
Gary Ward,Right,74,195,0.276,130,,R
Jim Lonborg,Right,77,200,0.136,3,,R
Joe Lis,Right,72,175,0.233,32,,R
Dan Meyer,Left,71,180,0.253,86,,L
Jim Holt,Left,72,180,0.265,19,,L
Tom Klawitter,Right,74,190,0,0,,R
Larry Herndon,Right,75,190,0.274,107,,R
Gary Christenson,Left,77,200,0,0,,L
Jim Wright,Right,77,205,0,0,,R
Jim Wright,Right,73,165,0,0,,R
Wallace Johnson,Both,72,173,0.255,5,,B
Mike Kinnunen,Left,73,185,0,0,,L
Eddie Leon,Right,72,170,0.236,24,,R
Dave Rajsich,Left,77,175,0,0,,L
Jim Wohlford,Right,71,175,0.26,21,,R
J.R. Richard,Right,80,222,0.168,10,,R
Bill Voss,Left,74,160,0.227,19,,L
Keith Moreland,Right,72,190,0.279,121,,R
Ramon Pena,Right,70,155,0,0,,R
Alex Johnson,Right,72,205,0.288,78,,R
Wayne Krenchicki,Left,73,180,0.266,15,,L
Chico Escarrega,Right,71,185,0,0,,R
Dave Rosello,Right,71,160,0.236,10,,R
Cardell Camper,Right,75,208,0,0,,R
Paul Schaal,Right,71,165,0.244,57,,R
Tito Landrum,Right,71,175,0.249,13,,R
Dave Edwards,Right,72,170,0.237,14,,R
Mario Guerrero,Right,70,155,0.257,7,,R
Tom Tresh,Both,73,180,0.245,153,,B
Mike Overy,Right,74,190,0,0,,R
Ron Roenicke,Both,72,180,0.238,17,,B
Doug Griffin,Right,72,160,0.245,7,,R
Steve Blass,Right,72,165,0.172,1,,R
Johnnie LeMaster,Right,74,165,0.222,22,,R
Craig Chamberlain,Right,73,190,0,0,,R
Nate Oliver,Right,70,160,0.226,2,,R
Ray Sadecki,Left,71,180,0.191,5,,L
Ken Rudolph,Right,73,180,0.213,6,,R
Wayne Nordhagen,Right,74,205,0.282,39,,R
Biff Pocoroba,Both,70,175,0.257,21,,B
Len Matuszek,Left,74,190,0.234,30,,L
Frank Eufemia,Right,71,185,0,0,,R
Joe Lefebvre,Left,70,170,0.258,31,,L
Jim Maloney,Left,74,190,0.201,7,,L
Andre Robertson,Right,70,155,0.251,5,,R
Jerry Zimmerman,Right,74,185,0.204,3,,R
Jack Lazorko,Right,71,200,0,0,,R
Mike Paxton,Right,71,190,0,0,,R
Chet Lemon,Right,72,190,0.273,215,,R
Rickey Keeton,Right,74,190,0,0,,R
Phil Mankowski,Left,72,180,0.264,8,,L
Cleon Jones,Right,72,185,0.281,93,,R
Joaquin Andujar,Both,72,170,0.127,5,,B
Mike Lum,Left,72,180,0.247,90,,L
Johnny Grubb,Left,75,175,0.278,99,,L
Curt Motton,Right,68,164,0.213,25,,R
Johnny Bench,Right,73,197,0.267,389,,R
Dale Berra,Right,72,180,0.236,49,,R
Terry Felton,Right,73,180,0,0,,R
Bob Meacham,Both,73,175,0.236,8,,B
Mark Clear,Right,76,200,0,0,,R
Carl Warwick,Right,70,170,0.248,31,,R
Sam Bowens,Right,73,188,0.223,45,,R
George Wright,Both,71,180,0.245,42,,B
Luis Aguayo,Right,69,173,0.236,37,,R
Hal Lanier,Right,74,180,0.228,8,,R
Mike Pazik,Left,74,195,0,0,,L
Len Randle,Both,70,169,0.257,27,,B
Greg Pryor,Right,72,180,0.25,14,,R
Jim Traber,Left,72,194,0.227,27,,L
Dave Nelson,Right,70,160,0.244,20,,R
Lynn Jones,Right,69,175,0.252,7,,R
Bryan Little,Both,70,160,0.245,3,,B
Ken Suarez,Right,69,175,0.227,5,,R
Rick Peters,Both,69,170,0.277,2,,B
Ron Stone,Left,74,185,0.241,6,,L
Rich Barnes,Right,76,186,0,0,,R
Tommie Agee,Right,71,195,0.255,130,,R
Bob Bailey,Right,73,180,0.257,189,,R
Cap Peterson,Right,74,195,0.23,19,,R
Ted Uhlaender,Left,74,190,0.263,36,,L
Ted Simmons,Both,71,193,0.285,248,,B
Bobby Murcer,Left,71,160,0.277,252,,L
Dick Tracewski,Right,71,160,0.213,8,,R
Dave Frost,Right,78,235,0,0,,R
Mark Souza,Left,72,180,0,0,,L
Bill Nahorodny,Right,74,200,0.241,25,,R
Bill Madlock,Right,71,180,0.305,163,,R
Bob Boone,Right,74,195,0.254,105,,R
Rick Jones,Left,77,190,0,0,,L
Steve Kemp,Left,72,195,0.278,130,,L
Rick Burleson,Right,70,165,0.273,50,,R
Jim Dorsey,Right,79,190,0,0,,R
Mark Ciardi,Right,72,180,0,0,,R
Dennis Burtt,Right,72,180,0,0,,R
Carl Taylor,Right,74,200,0.266,10,,R
Terry Harmon,Right,74,180,0.233,4,,R
Mike Hargrove,Left,72,195,0.29,80,,L
Rich Yett,Right,74,187,0,0,,R
Steve Hovley,Left,70,188,0.258,8,,L
Don Leppert,Right,74,220,0.229,15,,R
Matt Williams,Right,73,200,0,0,,R
Jim Burton,Right,75,195,0,0,,R
Rick Anderson,Right,74,210,0,0,,R
Charlie Mitchell,Right,75,170,0,0,,R
Bill Paschall,Right,72,175,0,0,,R
John Bohnet,Both,72,175,0,0,,B
Byron McLaughlin,Right,73,175,0,0,,R
Lee May,Right,75,195,0.267,354,,R
Luis Quintana,Left,74,175,0,0,,L
Sam McDowell,Left,77,190,0.154,2,,L
Rick Renick,Right,72,188,0.221,20,,R
Jeff Torborg,Right,72,195,0.214,8,,R
Dave Campbell,Right,73,180,0.213,20,,R
Pat Kelly,Left,73,185,0.264,76,,L
Al Weis,Both,72,160,0.219,7,,B
Jerry Turner,Left,69,180,0.257,45,,L
Rick Auerbach,Right,72,165,0.22,9,,R
Keith Macwhorter,Right,76,190,0,0,,R
Don Wilson,Right,74,195,0.146,1,,R
Jaime Cocanower,Right,76,200,0,0,,R
Jeff Sellers,Right,73,175,0,0,,R
Sandy Valdespino,Left,68,170,0.23,7,,L
Steve Senteney,Right,74,205,0,0,,R
Howard Bailey,Right,72,195,0,0,,R
Jeff Bettendorf,Right,75,180,0,0,,R
Ken Phelps,Left,73,209,0.239,123,,L
Cesar Cedeno,Right,74,175,0.285,199,,R
Bob Davidson,Right,72,185,0,0,,R
Phil Linz,Right,73,180,0.235,11,,R
Manny Mota,Right,70,160,0.304,31,,R
Brian Snyder,Left,75,185,0,0,,L
Steve Renko,Right,77,230,0.215,6,,R
Rick Sofield,Left,73,195,0.243,9,,L
Carlos Velazquez,Right,71,180,0,0,,R
Roger Miller,Right,75,200,0,0,,R
Doug DeCinces,Right,74,190,0.259,237,,R
John Castino,Right,71,175,0.278,41,,R
Dave May,Left,70,186,0.251,96,,L
Ron Washington,Right,71,155,0.261,20,,R
Billy Grabarkewitz,Right,70,165,0.236,28,,R
Willie Aikens,Left,75,220,0.271,110,,L
Earl Williams,Right,75,215,0.247,138,,R
Willie Mueller,Right,76,220,0,0,,R
John Flinn,Right,72,175,0,0,,R
Don Hahn,Right,73,180,0.236,7,,R
Todd Cruz,Right,72,175,0.22,34,,R
Tom Egan,Right,76,218,0.2,22,,R
Bob Heise,Right,72,175,0.247,1,,R
Tommy Harper,Right,69,165,0.257,146,,R
Joe Wallis,Both,71,180,0.244,16,,B
Max Alvis,Right,71,185,0.247,111,,R
Rico Carty,Right,75,200,0.299,204,,R
Mike Cubbage,Left,72,180,0.258,34,,L
Les Straker,Right,73,193,0,0,,R
Merritt Ranew,Left,71,170,0.247,8,,L
Lyman Bostock,Left,73,180,0.311,23,,L
Damaso Garcia,Right,73,165,0.283,36,,R
Don Kainer,Right,75,205,0,0,,R
Don Gordon,Right,73,175,0,0,,R
Roy Howell,Left,73,190,0.261,80,,L
Boog Powell,Left,76,230,0.266,339,,L
Sandy Wihtol,Right,73,195,0,0,,R
Sonny Siebert,Right,75,190,0.173,12,,R
Jeff Richardson,Right,75,185,0,0,,R
Bobby Darwin,Right,74,190,0.251,83,,R
Dennis DeBarr,Left,74,190,0,0,,L
Dan Driessen,Left,71,187,0.267,153,,L
Bruce Miller,Right,73,185,0.246,1,,R
Bob Bailor,Right,71,170,0.264,9,,R
Tommy Helms,Right,70,165,0.269,34,,R
Tony Armas,Right,71,182,0.252,251,,R
Willie Horton,Right,71,209,0.273,325,,R
Lou Piniella,Right,72,182,0.291,102,,R
Butch Hobson,Right,73,193,0.248,98,,R
John Wathan,Right,74,205,0.262,21,,R
Hal King,Left,73,200,0.214,24,,L
Mike Krukow,Right,77,205,0.193,5,,R
Andres Mora,Right,72,180,0.223,27,,R
Barry Foote,Right,75,205,0.23,57,,R
Ed Ott,Left,70,190,0.259,33,,L
Alan Wiggins,Both,74,160,0.259,5,,B
Ron Clark,Right,70,175,0.189,5,,R
Jay Pettibone,Right,76,182,0,0,,R
Glen Cook,Right,71,180,0,0,,R
Julio Gotay,Right,72,180,0.26,6,,R
Gary Alexander,Right,74,195,0.23,55,,R
Andre Thornton,Right,75,200,0.254,253,,R
Bob Oliver,Right,75,205,0.256,94,,R
Bill Castro,Right,71,170,0,0,,R
Ed Hodge,Left,74,192,0,0,,L
Tom Buskey,Right,75,200,0,0,,R
Bruce Taylor,Right,72,178,0,0,,R
Stan Thomas,Right,74,185,0,0,,R
Bob Robertson,Right,73,195,0.242,115,,R
Larry Monroe,Right,76,200,0,0,,R
Roger Slagle,Right,75,190,0,0,,R
Ollie Brown,Right,74,178,0.265,102,,R
Jim Campbell,Left,71,175,0,0,,L
