name,handedness,height,weight,avg,HR,,Handedness Abbreviation
Luis Gomez,Right,69,150,0.21,0,,R
Dave Lemanczyk,Right,76,235,0,0,,R
Al Jones,Right,76,210,0,0,,R
Floyd Rayford,Right,70,190,0.244,38,,R
Sam Hinds,Right,78,215,0,0,,R
Tony Conigliaro,Right,75,185,0.264,166,,R
Clay Christiansen,Right,77,205,0,0,,R
Jim Barr,Right,75,205,0.162,1,,R
Jerry Remy,Left,69,165,0.275,7,,L
Larry Rothschild,Left,74,180,0,0,,L
Frank Duffy,Right,73,180,0.232,26,,R
Gary Lance,Both,75,195,0,0,,B
Tom O'Malley,Left,72,180,0.256,13,,L
Phil Garner,Right,70,175,0.26,109,,R
Larry Pashnick,Right,75,205,0,0,,R
Todd Fischer,Right,70,170,0,0,,R
